Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
Al-Cr-Cu-Fe-Mn-Ni-Sn-,0.04-0.16-0.30-0.12-0.09-0.25-0.03-,2.4381342,5.251981,1.367651,2.7248218,9.609685,14.558407,1609.3594,23.37617,1.8129871,7.2140455,8.957287,2.4016733,0.15151882,7.921122,7.8703337
Al-B-Co-Cr-Fe-Ni-,0.13-0.16-0.15-0.23-0.14-0.19-,-19.93292,8.610189,1.2756879,14.97448,1.3632857,14.751639,1842.1179,22.950628,1.8189206,8.041915,6.6285076,2.6843054,1.9495592e-06,6.5102353,108.07526
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.22-0.19-0.18-0.12-0.16-0.04-0.08-,-7.0742846,6.369896,1.3480968,4.178935,3.5214245,15.612145,1595.6522,26.777025,1.765158,7.2940617,7.2749176,2.7276971,0.13193578,6.6325603,17.277758
Co-Cr-Fe-Ni-Ti-,0.06-0.22-0.19-0.25-0.29-,-19.699928,8.854528,1.3846921,1.6745446,1.2172596,12.583978,1905.5918,8.685451,1.7318971,8.712246,6.963386,2.3422952,1.9282254e-05,6.698216,9.807984
Co-Cu-Fe-Mn-Ni-V-,0.08-0.32-0.14-0.12-0.17-0.17-,0.8914615,5.117652,1.362808,1.608896,26.448307,14.076025,1675.0236,17.192986,1.8036683,7.4776754,8.771242,2.1765714,0.041192263,8.056368,12.540759
Cr-Cu-Fe-Mn-Ni-,0.06-0.36-0.15-0.16-0.28-,4.1243067,4.026222,1.368232,1.7671065,4.7422705,12.204333,1602.5931,14.512871,1.8227553,7.2741776,9.348376,1.7105796,0.84970206,8.4205675,6.2833796
Al-Co-Cr-Cu-Fe-Mn-Ni-V-,0.12-0.19-0.14-0.04-0.14-0.18-0.09-0.10-,-9.61013,5.8152304,1.3612727,3.4527535,2.9671838,16.692747,1708.228,21.784876,1.7296035,7.9860106,7.1562514,2.1915321,0.0001445493,6.9974146,18.410036
Al-Co-Cu-Fe-Mg-,0.43-0.27-0.10-0.12-0.07-,-9.654993,6.463535,1.3240576,5.6089973,1.6089894,11.81231,1315.1346,30.626198,1.719131,9.900517,6.0129185,3.2457318,0.9361062,4.922426,24.853867
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.27-0.19-0.20-0.04-0.23-0.05-0.01-,-10.032011,5.7423644,1.3460373,4.642156,2.219187,13.913155,1600.1335,29.536215,1.7545142,6.854305,6.745114,2.6902134,0.6287139,6.208838,17.988176
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.15-0.27-0.21-0.06-0.11-0.04-0.16-,-8.8538065,5.851261,1.3523409,3.6376398,2.8499568,14.922655,1690.9165,22.891096,1.7806032,7.113148,7.548716,2.4463084,0.08097202,7.087608,22.742065
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.12-0.25-0.15-0.01-0.23-0.05-0.18-,-8.742135,5.0798516,1.3596637,3.4505394,2.8493068,14.549952,1711.9658,19.57276,1.7916912,6.740138,7.704093,2.1601,0.26455763,7.3017893,20.651703
Co-Cr-Fe-Ni-Si-,0.27-0.03-0.21-0.31-0.18-,-23.298597,12.021284,1.3178688,7.8317394,0.91895735,12.143004,1763.1892,4.8440733,1.8753469,2.5914478,8.116254,2.1085262,0.96149606,6.8156753,22.631758
Co-Cr-Cu-Fe-Mn-Ni-Sn-,0.24-0.02-0.10-0.18-0.16-0.28-0.02-,-0.6540424,3.169283,1.3698014,1.9079626,35.688988,13.965189,1671.447,13.011308,1.8246881,7.0157557,8.991322,1.4450965,0.8903808,8.367557,19.43008
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.29-0.25-0.10-0.01-0.20-0.05-0.10-,-13.975845,6.0588017,1.3388162,4.5217767,1.5634573,14.045983,1555.65,27.223183,1.7562096,7.353114,6.7773337,2.635018,0.5472079,6.1707697,21.191648
Al-Cr-Cu-Fe-Ni-,0.26-0.22-0.15-0.21-0.17-,-6.570538,6.39213,1.3455392,4.4846783,3.188364,13.223676,1584.2239,28.828827,1.7597057,7.112916,7.04461,2.8999636,0.08734117,6.3069077,5.822867
Al-Co-Cr-Cu-Ni-,0.31-0.32-0.13-0.16-0.07-,-9.996201,6.715588,1.3252032,4.043413,1.8318774,12.276702,1491.5903,29.42826,1.7709227,7.5015397,7.10127,3.105135,0.6972893,6.194125,27.328783
Al-Co-Cr-Fe-Mo-Ni-,0.18-0.17-0.14-0.21-0.13-0.16-,-11.074565,5.1741524,1.3619511,4.551516,2.424967,14.778023,1817.256,30.654276,1.8295848,9.168359,7.0541205,2.362065,3.0713934e-05,7.2115307,17.812418
Cr-Cu-Fe-Ni-,0.27-0.27-0.08-0.39-,2.959516,4.4051104,1.3673501,1.7482814,6.2978144,10.613299,1756.1445,17.144728,1.8343897,5.8344994,9.04118,1.9814577,0.91307855,8.35473,7.847043
Al-Co-Cr-Cu-Ni-Sn-Ti-,0.05-0.18-0.15-0.18-0.38-0.04-0.03-,-3.8357923,6.366016,1.3577693,2.6248076,5.8859634,13.643307,1654.8281,22.669468,1.8426592,6.2471457,9.051672,2.4234579,0.90908676,7.9302983,18.538193
Al-Cr-Cu-Fe-Ni-Ti-,0.25-0.05-0.19-0.11-0.29-0.11-,-16.172178,9.456127,1.3391329,4.1045394,1.2953578,13.787021,1519.4547,25.753836,1.771719,8.400902,7.376903,3.2558877,0.9309859,6.1954184,6.406661
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.17-0.23-0.10-0.16-0.12-,-8.301626,6.2134666,1.347367,4.1922917,2.873766,14.546707,1640.0225,26.83079,1.7672508,6.954582,7.1361465,2.6904237,0.14372164,6.570794,16.703917
Co-Cr-Fe-Mn-Ni-Sn-,0.32-0.05-0.22-0.12-0.27-0.02-,-3.096199,1.9495702,1.3710684,1.9302034,7.0888867,12.647257,1735.4431,11.914855,1.8292451,6.3361073,8.759091,1.3306057,0.7257818,8.328408,23.82728
Al-Cu-Ni-,0.40-0.44-0.16-,-5.087144,5.183134,1.310173,3.7845492,2.1027298,8.603867,1243.2651,23.10992,1.7853984,8.0470295,7.6427393,3.8184974,0.088507,5.877832,6.8674564
Al-Co-Cr-Fe-Ni-,0.20-0.21-0.13-0.15-0.30-,-13.221228,5.9730096,1.3441868,3.845403,1.6331655,13.086618,1649.964,23.311625,1.7985725,6.821183,7.5591536,2.6015418,0.6976846,6.8585877,20.039381
Al-Cr-Fe-Ni-,0.27-0.20-0.32-0.21-,-12.93162,4.9126444,1.3491542,4.6970625,1.441484,11.422893,1631.8738,27.76191,1.7521946,6.826175,6.650504,2.5668736,0.5872242,6.129716,5.0668793
Co-Cr-Fe-Ni-Ti-,0.19-0.21-0.12-0.30-0.18-,-16.690668,8.665802,1.3754354,1.826076,1.4824629,13.182922,1876.9202,9.2596855,1.775819,8.098722,7.657834,2.2405484,0.00028356607,7.311595,18.009161
Co-Cr-Cu-Fe-Ni-Ti-V-,0.16-0.11-0.17-0.17-0.20-0.05-0.13-,-4.6712327,6.8049974,1.3664787,1.7279657,6.0467405,15.650001,1804.8386,14.6939335,1.8072231,6.6980124,8.270088,2.2062893,0.804375,7.798999,17.462572
Al-Co-Cr-Mg-,0.65-0.03-0.01-0.30-,-2.9194415,2.9869626,1.3305511,8.509915,2.4130855,7.234038,973.84875,20.961689,1.5322564,10.032708,3.0284085,1.5496721,1.4478093e-09,2.5365179,7.0026517
Co-Cu-Mo-Nb-Ti-V-Zr-,0.09-0.03-0.03-0.15-0.22-0.30-0.18-,-9.6062355,7.4016175,1.4145687,5.128683,3.2059243,14.208043,2167.5652,15.363224,1.5988318,11.363261,5.158584,1.6773763,0.0024508063,6.572078,26.896027
Cr-Mo-Nb-Ti-,0.07-0.19-0.40-0.34-,-3.090756,2.3150256,1.4304069,1.8797984,8.371641,10.528818,2457.5112,16.65182,1.6863105,13.7211,4.90197,0.7721734,0.99995816,7.326255,26.19038
Co-Cr-Fe-Ni-Ti-,0.26-0.25-0.11-0.28-0.10-,-11.427396,6.8934517,1.3736401,1.8716253,2.1245353,12.968648,1872.0459,11.380776,1.7955856,7.196298,7.9666486,2.0382092,0.14975604,7.702374,21.719927
Co-Cr-Cu-Fe-Mo-Ni-,0.21-0.07-0.20-0.31-0.04-0.16-,3.920685,4.4758325,1.3731843,2.099174,6.2064533,13.764896,1767.7979,17.80732,1.8679221,4.807187,8.902583,1.5488552,0.9945589,8.495837,17.27064
Al-Co-Cr-Fe-Mn-Ni-,0.19-0.27-0.17-0.14-0.01-0.22-,-12.625321,5.7339296,1.3468817,3.8565803,1.798938,13.588616,1671.4114,23.418255,1.7869909,6.9363236,7.4098206,2.4994824,0.5983527,6.868164,23.244549
Cu-Ni-Sn-Zn-,0.51-0.25-0.10-0.14-,2.203042,2.6451805,1.3602277,2.2329679,5.72447,9.931812,1269.7837,31.644413,1.874027,4.88187,11.198599,1.1256409,0.0005513568,8.31916,9.265834
Al-Co-Cr-Fe-Mo-Ni-,0.15-0.23-0.07-0.21-0.17-0.18-,-10.16078,4.945439,1.3661073,4.4000993,2.6554618,14.461707,1865.7244,30.367207,1.8671386,8.946218,7.3672647,2.2775571,0.00024160223,7.668272,20.568579
Al-Co-Cr-Cu-Fe-Ni-,0.29-0.21-0.14-0.06-0.17-0.12-,-11.504423,6.400432,1.336901,4.470812,1.9210672,14.179595,1558.6318,28.568602,1.7653196,7.112045,6.8863697,2.819065,0.8942771,6.18103,19.348818
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.09-0.22-0.08-0.17-0.11-0.14-0.19-,-15.009554,9.820948,1.3601391,3.0564635,1.759769,15.640237,1688.8071,18.98641,1.7757217,8.376644,7.6457105,2.7924602,0.10007882,6.831397,19.108809
Al-Cr-Cu-Fe-Ni-Ti-,0.12-0.36-0.15-0.14-0.17-0.06-,-6.003428,7.049316,1.3651762,3.582196,4.015893,13.707321,1758.8497,23.800316,1.7498796,7.344967,7.2407,2.629607,0.007952579,6.842564,6.7077627
Al-C-Co-Cr-Fe-Mn-Ni-,0.21-0.03-0.18-0.26-0.20-0.06-0.05-,-16.545341,9.239769,1.3353143,9.573925,1.5421058,14.538256,1755.0016,32.338013,1.7576202,10.539254,6.53389,2.2478309,0.00046620035,6.3374157,17.341223
Al-Co-Cr-Fe-Ni-Ti-,0.14-0.25-0.24-0.11-0.25-0.01-,-12.144404,5.7161074,1.3539095,3.5475254,1.9488009,13.575959,1743.304,21.42239,1.7855705,6.968978,7.505916,2.3882,0.12774628,7.0998836,22.236721
Co-Cr-Cu-Fe-Ni-,0.20-0.30-0.03-0.27-0.20-,-2.2843795,2.6373944,1.3784982,1.8036177,10.077809,12.248749,1879.5006,11.211549,1.8078449,5.5277467,8.104475,1.5710217,0.987433,8.078665,17.461752
Cr-Cu-Fe-Mn-Ni-Sn-,0.03-0.46-0.03-0.18-0.29-0.01-,2.9610267,3.245467,1.3630934,1.7040629,5.4671273,10.639791,1521.488,14.761831,1.8305047,7.614729,9.780703,1.6767321,0.10075222,8.530889,7.017759
Al-Mo-Nb-Ti-V-W-,0.04-0.08-0.34-0.27-0.18-0.10-,-5.1863723,4.0460296,1.401629,3.5963285,6.231218,13.082219,2470.3306,24.481014,1.7079612,15.610986,4.832593,0.75183463,0.99998355,7.973015,27.474672
Co-Cu-Mn-Ni-Sn-Zn-,0.08-0.32-0.31-0.13-0.07-0.10-,-0.21829951,3.314829,1.3728032,2.302113,83.52722,13.418335,1358.877,27.109512,1.773026,9.386229,9.812338,2.1668825,7.712228e-06,8.062777,11.380409
Al-Cr-Fe-Ni-Ti-,0.34-0.23-0.16-0.12-0.13-,-20.329166,7.512174,1.3417997,5.0969286,1.0323197,13.099011,1602.1206,31.662899,1.687108,7.182537,5.5554886,2.4825497,0.051616922,5.212387,5.7638297
Co-Cr-Fe-Mn-Ni-,0.23-0.29-0.19-0.05-0.24-,-4.2569904,1.9328171,1.3769209,1.817083,5.513836,12.514696,1875.5822,10.945476,1.7962924,6.429039,8.060126,1.5463706,0.7734923,8.0849,19.291916
Co-Fe-Ni-,0.41-0.32-0.27-,-1.2118218,0.49349302,1.3658772,1.7119206,13.169871,9.01246,1770.8289,1.8327303,1.8722283,1.6813323,8.952819,0.7664001,0.99716467,8.53589,28.213531
Cu-Fe-Mn-Ni-Si-Ti-V-,0.14-0.10-0.09-0.22-0.03-0.07-0.35-,-13.060305,9.409964,1.3557408,3.6395755,2.0044296,14.220894,1840.8447,16.093382,1.743083,8.450618,7.3054013,2.5514495,0.013375062,6.937122,11.772185
Al-Cr-Cu-Fe-Ni-,0.27-0.23-0.16-0.25-0.08-,-4.628186,6.0850153,1.346576,4.6581216,4.3767643,12.847773,1576.6526,29.87268,1.747911,6.926069,6.813789,2.859787,0.06324648,6.1549997,5.249481
Al-Co-Cr-Fe-Ni-,0.22-0.16-0.16-0.27-0.18-,-11.719664,5.884049,1.3501847,4.304215,1.8947738,13.528754,1641.4009,25.981056,1.7688925,7.962032,7.0338454,2.563931,0.73977286,6.4570227,15.98292
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.27-0.05-0.24-0.13-0.17-0.02-0.10-,-10.846468,7.624503,1.3489761,4.6985135,2.1595318,14.522534,1612.8927,29.841713,1.7129114,7.3842487,6.2408705,2.7606733,0.17201886,5.762642,8.779861
Al-Co-Cr-Fe-Mo-Ni-,0.29-0.08-0.23-0.22-0.06-0.12-,-12.462122,5.121365,1.350111,5.036404,1.8942829,13.898423,1698.5222,33.059956,1.7630547,8.772275,6.315346,2.4665298,0.0011343186,6.226822,11.564312
Al-Co-Cr-Cu-Fe-Ni-,0.47-0.19-0.12-0.10-0.07-0.04-,-11.4491005,6.102,1.312977,4.7287188,1.5096015,12.537,1378.6055,34.028683,1.7269018,7.531206,6.020618,3.1233687,0.9750837,5.178391,19.173717
Mo-Nb-Ti-,0.39-0.37-0.24-,-4.2782946,1.9881587,1.4380352,1.5073316,5.5359225,9.053897,2615.9233,14.560862,1.8061581,15.822664,5.158147,0.77778757,0.9999881,8.170483,25.532362
Al-Co-Cr-Fe-Ni-,0.15-0.24-0.08-0.18-0.35-,-10.760584,5.5289755,1.3480539,3.431674,1.9361672,12.486141,1668.5929,19.663935,1.8244475,6.0579,8.044661,2.3803036,0.2164884,7.302117,21.178965
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.17-0.14-0.22-0.12-0.15-0.13-0.07-,-10.543074,7.8387504,1.3552425,3.930031,2.5390105,15.907281,1682.8125,24.946533,1.7599617,7.5893135,7.1525908,2.7094886,0.13127896,6.601501,14.475776
B-Co-Cr-Cu-Fe-Ni-Sn-,0.05-0.25-0.04-0.38-0.02-0.22-0.04-,2.476272,4.994355,1.3344698,8.067868,8.241428,12.752031,1600.3746,21.49711,1.8938875,3.2102327,9.748617,2.0382345,0.023293508,8.485294,40.35571
Al-Co-Cr-Fe-Mo-Ni-Si-,0.21-0.20-0.20-0.11-0.06-0.19-0.02-,-14.508861,6.937004,1.345782,5.011638,1.7977041,15.053771,1732.6312,29.270039,1.795257,8.477763,6.961587,2.5694692,0.07062268,6.694216,19.896818
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.19-0.22-0.16-0.15-0.06-,-5.179751,6.2897534,1.3469123,4.1190267,4.497763,14.440047,1613.3802,27.088446,1.7718344,6.908215,7.2974052,2.7722895,0.058887415,6.649591,17.469011
Co-Cr-Fe-Ni-Si-,0.29-0.11-0.35-0.21-0.05-,-8.741042,7.232547,1.3616871,4.564283,2.4812665,11.938771,1816.6737,7.32469,1.8452376,3.9208438,8.29632,1.4811326,0.9996136,7.8272085,21.817453
Cr-Cu-Fe-Mn-Ni-,0.21-0.25-0.19-0.14-0.22-,3.8940887,4.440393,1.3767784,1.8181993,5.8363323,13.238023,1716.8123,16.790443,1.7918853,7.425503,8.63121,1.9124978,0.06773286,8.14949,6.0327616
Al-Co-Cr-Cu-Fe-Ni-,0.17-0.34-0.13-0.13-0.02-0.22-,-7.6881986,6.410262,1.3404069,3.2932515,2.7943833,13.27708,1618.1095,23.001328,1.8152004,6.6292233,8.080517,2.665018,0.16452503,7.240727,27.100782
Al-Co-Cr-Cu-Fe-Mn-Ni-V-,0.10-0.22-0.08-0.07-0.15-0.12-0.12-0.12-,-8.998342,6.053936,1.3577026,3.160682,3.1992323,16.837248,1709.7676,20.508854,1.760344,7.7948303,7.525207,2.292217,0.0037633057,7.204482,20.63212
Al-Co-Cu-Fe-Mn-Ni-Sn-,0.19-0.26-0.19-0.06-0.10-0.18-0.02-,-7.561537,6.7031474,1.3403821,3.6873121,2.8530483,14.643685,1473.2239,23.27201,1.8012906,7.7939615,8.223375,2.877021,0.41774055,7.061039,22.075802
Al-Co-Cr-Cu-Fe-,0.30-0.30-0.10-0.10-0.21-,-9.301702,6.206535,1.3357407,4.440701,2.0601556,12.516082,1531.0663,27.971918,1.7700229,6.8780437,6.9199963,2.793327,0.4573708,6.2029405,24.40073
Al-Co-Cr-Cu-Fe-Ni-,0.22-0.15-0.19-0.16-0.13-0.14-,-6.4024577,6.5501046,1.3435559,4.083421,3.6662185,14.745439,1591.8688,27.103605,1.7781882,7.069026,7.415716,2.8681428,0.11532214,6.6430864,15.749458
Al-Cr-Fe-Ni-Ti-,0.30-0.15-0.32-0.17-0.06-,-16.940353,6.4255657,1.3468169,4.8676586,1.1651722,12.335333,1600.1534,28.489489,1.7348222,7.2683096,6.3088408,2.6138506,0.71128523,5.7604656,4.591792
Al-Co-Cr-Cu-Fe-Ni-,0.03-0.22-0.25-0.02-0.21-0.27-,-4.537161,3.283129,1.3705976,2.3116057,5.1839457,12.790558,1838.8868,13.32053,1.815841,5.6952195,8.193683,1.7647921,0.96485937,7.990813,18.953392
Al-Co-Cr-Fe-Ni-Ti-V-,0.25-0.18-0.18-0.17-0.10-0.05-0.07-,-17.52496,7.0372043,1.3443246,4.3937097,1.4513953,15.216983,1671.5297,27.532187,1.7326337,7.283423,6.346741,2.5116522,0.044266813,6.0045342,18.749084
Cr-Fe-Mn-Ni-Sn-V-,0.14-0.08-0.55-0.11-0.03-0.08-,-3.2513378,2.8843806,1.3921525,1.6180786,5.922818,11.464978,1679.6434,20.566753,1.649471,8.359549,7.3503504,1.7612188,0.0055176294,7.470667,6.942704
Cr-Nb-Ti-V-,0.17-0.45-0.27-0.11-,-3.1110718,2.3162816,1.4171338,2.3506358,7.9767165,10.4546585,2373.691,14.853187,1.5977001,2.5725667,4.907458,0.65834373,0.9998435,7.0068884,29.473019
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.11-0.17-0.10-0.12-0.06-0.03-0.25-0.15-,-16.623066,9.804552,1.3562379,3.2836027,1.639851,16.256094,1676.8694,20.309996,1.7708151,8.548408,7.6063595,2.7983587,0.19505297,6.807009,16.53661
Co-Fe-Ni-Si-,0.35-0.29-0.31-0.05-,-8.712093,7.797934,1.3511573,4.709174,2.0961506,10.353132,1763.8967,2.115925,1.875772,1.697219,8.750549,1.3648417,0.9999783,7.985835,25.611025
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.22-0.21-0.17-0.02-0.13-0.20-0.05-,-16.446482,7.583677,1.3453437,4.117849,1.4790164,14.72042,1652.4401,25.282265,1.7658268,7.520774,7.0206156,2.689205,0.72503525,6.4238486,19.60333
Al-Co-Cr-Fe-Mn-Ni-,0.10-0.16-0.16-0.20-0.27-0.10-,-8.538109,4.7588243,1.3716,3.372522,2.8435597,14.401653,1685.8217,19.517113,1.72105,8.211463,7.2719207,1.8683805,0.0063185664,7.181675,14.21211
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.14-0.17-0.18-0.16-0.19-0.11-0.05-,-6.61587,7.2535124,1.3576732,3.58474,4.0320215,15.937098,1673.7881,22.749851,1.7822888,7.095128,7.632907,2.6029313,0.02103342,7.0022264,15.803189
Al-Mg-Mn-,0.69-0.11-0.20-,-10.080115,5.0129557,1.3083329,6.9258766,0.71522945,6.8769565,1048.37,22.33587,1.5638055,6.0265245,3.678665,1.6813824,8.609898e-07,3.2440362,3.0875447
Al-Co-Cr-Fe-Mn-Ni-Ti-,0.15-0.28-0.19-0.13-0.04-0.19-0.01-,-12.369011,5.936253,1.3536202,3.6444228,1.9915228,14.398936,1710.7628,21.663021,1.7787627,7.2162323,7.437617,2.3551478,0.28103104,7.028613,23.530018
Al-Cr-Cu-Fe-Ni-Ti-,0.16-0.15-0.17-0.20-0.30-0.01-,-6.112935,6.9031343,1.3524296,3.7327013,3.6694884,13.845279,1620.1436,23.600758,1.7984715,6.968999,7.934049,2.7546823,0.05703967,7.0265326,6.278222
Al-Co-Cr-Fe-Ni-,0.15-0.30-0.16-0.13-0.26-,-11.246574,5.4401712,1.3490676,3.519351,1.955997,12.937276,1700.3783,21.167118,1.805285,6.5053344,7.7394047,2.3949625,0.19398843,7.187822,24.771893
Hf-Nb-Ta-Ti-Zr-,0.23-0.14-0.11-0.26-0.26-,2.120181,1.1482818,1.4862015,4.399845,14.488268,12.920224,2377.4946,17.791613,1.4334872,8.311726,4.245489,0.43204802,1.0,9.001951,584.4067
Cu-Fe-Mn-Ni-Sn-Zn-,0.48-0.03-0.16-0.13-0.09-0.11-,2.3946655,3.2136753,1.368058,2.3289952,6.629457,12.202648,1300.9747,28.329489,1.8225174,7.853974,10.513851,1.8916283,3.6437857e-05,8.191041,8.010231
Al-Co-Cr-Fe-Mn-Ni-V-,0.10-0.22-0.18-0.11-0.09-0.16-0.14-,-12.284497,5.5878534,1.3594486,3.1467803,2.312788,15.802455,1797.9127,19.864408,1.7480223,7.5732865,7.176034,2.1676152,0.0028518946,7.100843,21.630184
Al-Cr-Cu-Fe-Ni-Ti-,0.16-0.10-0.22-0.13-0.36-0.04-,-7.7140503,7.7784204,1.3470005,3.510399,2.7331924,13.338197,1580.7219,22.930914,1.8119818,7.147315,8.24571,2.8910842,0.2779969,7.0816917,6.966626
Al-Co-Cr-Fe-Mo-Ni-,0.21-0.18-0.18-0.19-0.09-0.14-,-11.893301,5.3424506,1.3566198,4.631268,2.1877954,14.664649,1774.3422,30.837402,1.8044983,9.024217,6.857489,2.419012,0.000119672615,6.8960943,18.358112
Co-Cr-Fe-Ni-Ti-,0.19-0.28-0.14-0.25-0.13-,-13.286029,7.3207917,1.3778797,1.8094606,1.8641995,13.00883,1903.9226,9.748254,1.7729161,7.616912,7.5971146,2.0752697,0.0015756487,7.436995,17.719568
Co-Cr-Fe-Mo-Nb-Ni-Ti-,0.04-0.20-0.08-0.32-0.08-0.18-0.11-,-11.674862,6.4069037,1.4091923,2.720291,2.8901174,14.640139,2304.7402,21.025906,1.8686814,12.425032,6.6801043,1.8866432,0.2814478,8.377473,16.999168
Al-Nb-Ta-Ti-V-,0.17-0.17-0.14-0.33-0.20-,-12.597713,7.634452,1.3806312,4.9275355,2.205397,12.954654,2144.6313,33.07611,1.5736321,2.9120076,4.335949,0.74642634,0.9667574,7.0166187,98.49506
Al-Cr-Cu-Fe-Ni-,0.21-0.19-0.23-0.11-0.25-,-5.196649,6.7052174,1.3438314,3.9918203,4.0249104,13.341505,1567.7424,27.100452,1.7848593,7.3223457,7.7257957,3.0169404,0.063858695,6.7423935,6.937107
Al-Cr-Cu-Fe-Mn-Ni-Sn-Ti-,0.22-0.11-0.07-0.10-0.20-0.17-0.05-0.08-,-14.612714,8.334115,1.3577013,4.5657225,1.6816636,16.379528,1500.2671,30.200598,1.7097034,9.047432,7.03228,3.0916932,0.6389536,6.2130556,6.9801006
Mo-Nb-Ti-V-Zr-,0.04-0.16-0.32-0.16-0.32-,-0.8186077,1.7111926,1.449175,5.179244,32.309387,12.001799,2203.726,13.573299,1.521708,11.497594,4.398938,0.5652724,0.99985206,6.2810497,22.851187
Cr-Cu-Fe-Mn-Ni-,0.15-0.25-0.16-0.25-0.19-,3.272654,4.1993756,1.3779173,1.8099748,6.7274227,13.212202,1666.3787,16.25605,1.7681651,8.4466715,8.582812,1.8791454,0.018884609,8.11758,5.7610126
Co-Cr-Fe-Ni-Ti-V-,0.29-0.10-0.16-0.27-0.09-0.08-,-12.989701,7.2673526,1.3675048,1.7527399,1.9695411,13.80289,1853.5066,8.813553,1.807512,6.927006,8.039245,1.9914653,0.068715006,7.7111855,24.454279
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.13-0.12-0.14-0.14-0.22-0.05-0.21-,-13.892822,8.958059,1.365834,3.6097386,1.9181538,15.585024,1709.8829,21.726864,1.7370476,8.2284975,6.87873,2.7092566,0.13038115,6.3316855,12.381784
Hf-Mo-Nb-Ta-W-,0.03-0.17-0.17-0.39-0.24-,-6.0254774,2.3748326,1.4284102,3.3315852,6.268842,11.77384,3208.1938,11.088966,1.835607,20.848156,5.3894014,0.54376006,0.9999597,14.7316065,170.42969
Co-Cr-Cu-Fe-Ni-,0.25-0.09-0.11-0.36-0.20-,1.6426451,3.258222,1.3722913,1.818211,13.291142,12.365246,1765.6456,10.44224,1.8513534,3.6026716,8.801943,1.3150269,0.9985556,8.35852,18.81155
Al-Mo-Nb-Ti-V-W-,0.21-0.20-0.24-0.07-0.18-0.10-,-11.288579,5.6860933,1.3767588,5.5813017,2.9589934,14.309514,2334.309,36.023746,1.7892118,16.185812,4.811779,1.0772438,0.6848591,7.980586,25.521246
Al-Hf-Nb-Ta-Ti-Zr-,0.16-0.12-0.17-0.10-0.22-0.22-,-15.224859,11.303473,1.4409996,7.0762835,2.0636272,14.55444,2158.6836,31.178839,1.4814874,8.269222,4.1071568,0.64814115,0.24371117,7.764025,396.09088
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.19-0.09-0.09-0.14-0.11-0.07-0.15-0.16-,-16.652979,9.601808,1.3526003,4.039215,1.6196648,16.910696,1594.981,24.37454,1.7325962,8.799211,6.9697323,2.9335904,0.4942439,6.205929,11.21599
Al-Co-Cr-Cu-Fe-Ni-,0.26-0.07-0.12-0.16-0.26-0.13-,-6.0395527,6.5021963,1.3433919,4.3940144,3.6162117,14.14428,1544.1079,27.284653,1.7778631,6.9126287,7.2869034,2.9085891,0.1399109,6.413013,9.475979
Al-Co-Cr-Fe-Ni-,0.06-0.31-0.27-0.14-0.23-,-7.048161,3.7067072,1.3643388,2.7113118,3.2066224,12.3752985,1826.2822,15.662704,1.8065532,6.0976715,7.9609475,1.928807,0.6533931,7.7784357,24.845606
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.04-0.26-0.08-0.33-0.08-0.18-0.03-,3.5520463,4.535598,1.3575139,2.375435,6.201233,13.880273,1586.9337,21.583254,1.8625499,4.527994,9.472033,2.0635793,0.55606973,8.251715,21.217096
Al-Co-Cr-Fe-Mo-Ni-Si-,0.09-0.16-0.23-0.22-0.09-0.17-0.04-,-12.446405,7.236472,1.3639368,5.1894336,2.3008473,15.134417,1892.1954,23.742823,1.8249463,8.2262125,7.2671404,2.0968611,0.07838422,7.3524613,16.487741
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.23-0.26-0.17-0.09-0.13-0.10-0.02-,-8.886166,6.408015,1.3435419,4.211982,2.6388512,14.752573,1589.5034,28.183767,1.7791958,7.0336714,7.32586,2.8464322,0.5593934,6.59124,22.432802
Al-Co-Cr-Fe-Ni-,0.17-0.24-0.16-0.15-0.28-,-12.006188,5.61656,1.34853,3.7206757,1.847678,13.158376,1685.8894,22.311554,1.7985597,6.6671333,7.6032495,2.4779308,0.38842648,7.016045,21.089989
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.13-0.29-0.11-0.23-0.17-0.05-0.04-,-0.2069835,5.90465,1.3548697,3.527268,111.27479,14.625241,1574.8071,25.655853,1.8228434,5.972667,8.434017,2.6780355,0.13099352,7.4197755,22.687088
